-		*		*
kill		*		*
-		*		*
-		*		*
-		(A1*)		*
-		*		*
-		*		*
-		*		*
-		*		(A1*
-		*		*)
-		*		*
-		*		(A0*)
charge		*		*

-		(A1*		(A1*		*		*
-		*)		*)		*		*
-		*		*		*		*
die		*		*		*		*
-		(AM-TMP*		*		*		*
-		*		*		*		*
hit		*		*		*		*
-		*		(A2*		*		*
-		*		*		(A0*		*
-		*		*		*)		*
-		*		*		(R-A0*)		*
flee		*		*		*		*
-		*		*		(A1*		*
-		*		*		*)		*
-		*		*		(AM-TMP*		*
-		*		*		*)		*
-		*)		*)		(AM-TMP*)		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		(AM-TMP*)
-		*		*		*		*
-		*		*		*		(A0*
-		*		*		*		*)
-		*		*		*		*
face		*		*		*		*
-		*		*		*		(A1*
-		*		*		*		*)
-		*		*		*		*

