-		(A1*		(A0*		(A1*		*		*		*
-		*		*		*		*		*		*
-		*)		*)		*		*		*		*
charge		*		*		*		*		*		*
-		(A2*		*		*		*		*		*
kill		*		*		*		*		*		*
-		*		(A1*		*		*		*		*
-		*		*		*		*		*		*
-		*		*)		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		(AM-TMP*		*		*		*		*
-		*		*		*		*		*		*
-		*)		*)		*)		*		*		*
-		*		*		*		*		*		*
release		*		*		*		*		*		*
-		*		*		(AM-MNR*		*		*		*
-		*		*		*)		*		*		*
-		*		*		*		*		*		*
-		*		*		*		(A0*)		*		*
say		*		*		*		*		*		*
-		*		*		*		(AM-TMP*)		*		*
-		*		*		*		*		*		*
-		*		*		(AM-CAU*		*		*		*
-		*		*		*		*		(A1*)		(A0*)
-		*		*		*		*		*		*
die		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
live		*		*		*		*		*		*
-		*		*		*		*		*		(AM-LOC*
-		*		*		*		*		*		*
-		*		*		*		*		*		*
-		*		*		*)		*		*		*)
-		*		*		*		*		*		*

