-		(A0*		*		(A0*		*		*
-		*		*		*		*		*
-		*)		*		*		*		*
-		(R-A0*)		(R-A1*)		*		*		*
watch		*		*		*		*		*
-		(A1*		(A1*		*		*		*
-		*		*)		*		*		*
fall		*		*		*		*		*
-		*		*		*		*		*
-		*		*		*		*		*
-		*		*		*		*		*
-		*		(A2*		*		*		*
-		*		*		*		*		*
-		*		*		*		*		*
-		*		*		*		*		*
-		*		*		*		*		*
-		*)		*)		*)		*		*
say		*		*		*		*		*
-		*		*		(A1*		(A0*)		(A1*)
-		*		*		*		*		*
expect		*		*		*		*		*
-		*		*		*		(A1*		*
die		*		*		*		*		*
-		*		*		*		*		(AM-TMP*
-		*		*		*		*		*)
-		*		*		*		*		(AM-CAU*
-		*		*		*		*		*
-		*		*		*		*		*
-		*		*		*)		*)		*)
-		*		*		*		*		*

