-		(A0*		(A0*		(A0*		*
-		*		*		*		*
-		*)		*)		*)		*
-		*		*		*		*
survive		*		*		*		*
-		*		*		*		*
spend		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		(A1*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*)		*		*
-		(AM-TMP*		*		*		*
see		*		*		*		*
-		*		*		(A1*		(A1*
-		*		*		*		*)
fall		*		*		*		*
-		*		*		*		(A4*
-		*		*		*		*
-		*		*		*		*)
-		*		*		*		(A3*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*)		*		*)		*)
-		*		*		*		*

