-		(A0*		*		*		*		(A0*		(A1*
-		*		*		*		*		*		*
-		*)		*		*		*		*		*
-		(R-A0*)		*		*		*		*		*
survive		*		*		*		*		*		*
-		(A1*		(A1*		(A0*		*		*		*
-		*)		*)		*		*		*		*
stick		*		*		*		*		*		*
-		*		(AM-LOC*		*		*		*		*
-		*		*		*		*		*		*
-		*		*)		*)		*		*		*
-		(AM-TMP*		(AM-TMP*		*		*		*		*
see		*		*		*		*		*		*
-		*		*		(A1*		(A1*		*		*
-		*		*		*		*)		*		*
die		*)		*)		*)		*		*)		*)
-		*		*		*		*		(AM-DIS*)		*
-		*		*		*		*		(AM-MNR*)		*
escape		*		*		*		*		*		*
-		*		*		*		*		(A1*		*
bury		*		*		*		*		*		*
-		*		*		*		*		*		(A2*
-		*		*		*		*		*)		*)
-		*		*		*		*		*		*

