-		(A0*		*		*		(A0*
-		*)		*		*		*)
-		*		*		*		*
carry		*		*		*		*
-		*		*		*		*
-		(A1*		*		*		*
brazen		*		*		*		*
-		*		*		*		*
-		*		*		(AM-MNR*)		*
plan		*		*		*		*
-		*		*		(A1*)		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*)		*		*		*
-		*		*		(AM-LOC*		*
-		*		*		*		*
-		*		*		*)		*
-		*		*		*		*
make		(AM-ADV*		(AM-ADV*		(AM-ADV*		*
-		*		*		*		*
-		*		*		*		(A1*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*)		*)		*)		*)
-		*		*		*		*

