-		(A1*		*		(A1*		(A0*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*)		*		*)		*)
-		*		*		*		*
arm		*		*		(AM-ADV*		*
-		(A2*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		(A0*)		*		*
pose		*		*		*		*
-		*		(A2*		*		*
-		*)		*)		*)		*
-		*		*		*		*
-		*		*		*		*
strike		*		*		*		*
-		*		*		(AM-LOC*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*)		*
-		*		*		*		*
steal		*		*		(AM-ADV*		*
-		*		*		*		(A1*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*)
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*)		*
-		*		*		*		*

