-		*		(A0*		(A1*
-		*		*		*
-		(A1*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*)		*		*
arrest		*		*		*
-		(AM-TMP*)		*		*
-		(AM-LOC*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*)		*)		*
-		*		*		*
hang		*		*		*
-		*		(A1*)		*
-		*		(AM-LOC*		*
-		*		*		*
-		*		*		*
-		*		*)		*)
-		*		*		*
-		*		*		(A0*)
say		*		*		*
-		*		*		*

-		(A1*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*)
-		*
find		*
-		(AM-TMP*
-		*
-		*
-		*)
-		(AM-LOC*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*)
-		*

