-		*		(A1*		(A0*		(A1*
suspect		*		*		*		*
-		(A1*		*		*		*
-		*)		*)		*		*
arrest		*		*		*		*
-		*		(AM-TMP*)		*		*
-		*		(AM-LOC*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*)		*)		*
-		*		*		*		*
hang		*		*		*		*
-		*		*		(A1*)		*
-		*		*		(AM-LOC*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*)		*)
-		*		*		*		*
-		*		*		*		(A0*
-		*		*		*		*)
say		*		*		*		*
-		*		*		*		(AM-TMP*)
-		*		*		*		*

-		(A1*		(A1*
-		*		*
-		*)		*
-		*		*
-		(R-A1*)		*
-		*		*
-		(AM-TMP*)		*
convict		*		*
-		(A2*		*
-		*		*
-		*)		*
-		(AM-TMP*		*
-		*		*
-		*		*
-		*		*
-		*)		*
-		*		*)
-		*		*
find		*		*
-		*		(AM-TMP*
-		*		*
-		*		*
-		*		*)
-		*		(AM-LOC*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*)
-		*		*

