-		*		(A0*
-		*		*
-		(A1*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*)		*
arrest		*		*
-		(AM-LOC*		*
-		*		*
-		*		*
-		*		*
-		*)		*)
-		*		*
hang		*		*
-		*		(A1*)
-		*		(AM-LOC*
-		*		*
-		*		*
-		*		*)
-		*		(AM-LOC*
-		*		*)
-		*		*

-		(A1*
-		*)
appear		*
-		(C-A1*
-		*
-		*
-		*
-		*
-		*)
-		*

-		*		(A1*		(A1*
-		*		*		*
-		*		*		*
-		*		*		*
-		(A0*)		*		*
-		*		*		*
-		*		*		*
-		*		*		*
take		*		*		*
-		*		*		*
-		(A1*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*)		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*)		*
-		*		*		*
find		*		*		*
-		*		(A3*		*
-		*		*		*
-		*		*		*
-		*		*)		*)
-		*		*		*
-		*		*		(A0*)
say		*		*		*
-		*		*		(AM-TMP*)
-		*		*		*

