-		(A1*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*
-		*)
-		*
-		*
offer		*
-		*
-		*
-		*
-		*
-		*
-		(A0*
-		*
-		*
-		*)
-		*
-		(AM-ADV*
-		*
-		*)
-		*

-		(A0*		(A0*		*
-		*		*		*
-		*		*		*
-		*)		*)		*
-		*		*		*
-		(AM-ADV*)		*		*
accept		*		*		*
-		(A1*		*		*
-		*)		*		*
-		*		*		*
-		(AM-ADV*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*)		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		(AM-TMP*)		*
work		*		*		*
-		*		*		*
-		*		(A1*		*
-		*		*		*
-		*		*		*
move		*		*		*
-		*		*		(A1*
-		*		*		*)
-		*		*		(AM-DIR*
-		*		*		*)
-		*		*		(A2*
-		*		*)		*)
-		*		*		*

