-		(A0*		*
-		*		*
-		*)		*
confirm		*		*
-		(AM-TMP*)		*
-		(A1*		*
-		*		(A2*
-		*		*)
-		*		*
-		*		*
approach		*		*
-		*		*
-		*		*
-		*		*
-		*)		*
-		*		*

-		(A0*		(A0*		*		*
-		*)		*)		*		*
say		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		(A1*		*		(AM-TMP*		*
-		*		(AM-TMP*)		*		*
learn		*		*		*		*
-		*		(A1*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*)		*)		*
-		*		*		*		*
-		*		*		(A0*)		*
-		*		*		*		*
make		*		*		*		*
-		*		*		(A1*)		*
-		*		*		(A2*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		*
-		*		*		*		(A2*
-		*		*		*		*)
involve		*		*		*		*
-		*		*		*		(A1*
-		*		*		*		*
-		*)		*		*)		*)
-		*		*		*		*
-		*		*		*		*

