-		*		*		(A0*
-		*		*		*
-		*		*		*
-		(R-A1*)		*		*
-		(A0*)		*		*
-		(AM-TMP*)		*		*
learn		*		*		*
-		(A1*		(R-A0*)		*
-		*		(AM-MOD*)		*
play		*		*		*
-		*		(A1*		*
-		*		*		*
-		*		*)		*
-		*		(AM-TMP*		*
-		*		*		*
-		*)		*)		*)
leave		*		*		*
-		*		*		(A1*
-		*		*		*)
-		*		*		*

-		(A0*		(A0*		(A0*		*
-		*)		*)		*)		*
-		(AM-MOD*)		*		*		*
take		*		*		*		*
-		*		*		*		*
steer		(A1*		*		*		*
-		*		(A1*		*		*
-		*		*)		*		*
-		*		*		*		*
save		*		*		*		*
-		*		*		(A1*		*
-		*		*		*)		*
-		*		*		(AM-TMP*		(R-AM-TMP*)
-		*		*		*		(A1*
-		*		*		*		*)
return		*		*		*		*
-		*		*		*		(AM-TMP*
-		*		*		*		*
-		*		*		*		*
-		*)		*		*)		*)
-		*		*		*		*

