-		*
-		*
acquire		*
-		(A1*
-		*
-		*)
-		(A3*
-		*
-		*)

-
-
-
-
-
-
-
-

-		(A0*		(A0*
-		*		*
-		*)		*)
-		(AM-TMP*		*
-		*)		*
announce		*		*
-		(A1*		*
-		*		*
-		*		*
acquire		*		*
-		*		(A1*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*)
-		*		(A3*
-		*		*
-		*)		*)
-		*		*

-		(A1*		*
-		*		*
-		*		*
-		*		*
-		*)		*
-		(AM-MOD*)		*
become		*		*
-		(A2*		*
-		*		*
-		*		*
-		*		(A1*
-		*		*
-		*		*
-		*		*
-		*		*
-		*		*)
call		*		*
-		*		(A2*
-		*		*
-		*		*
-		*)		*)
-		*		*

