-
-
-
-
-
-
-

-
-
-
-
-
-
-
-

-		(A0*		(A0*
-		*		*
-		*)		*)
-		*		*
-		(AM-ADV*)		*
pull		*		*
-		*		*
-		*		*
-		*		*
-		(AM-PNC*		*
direct		*		*
-		*		(A1*
-		*		*
-		*		*
-		*)		*)

-		(A0*)		(A0*		(A1*
-		*		*		*
-		(R-A0*)		*		*
-		*		*		*
wow		*		*		*
-		(A1*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*)		*		*
-		(A2*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*)		*		*
-		*		*)		*)
-		*		*		*
-		*		(AM-MNR*)		*
decide		*		*		*
-		*		(A1*		(AM-NEG*)
-		*		*		*
return		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*)		*
-		*		*		*

-		*		(A1*		(A0*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
catch		*		*		*
-		(A1*)		*)		*)
-		*		*		*
begin		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
-		*		*		*
take		*		*		*
-		*		*		*
-		*		*		(A1*
-		*		*		*)
-		*		*		*

